tag_name,tag_id,count,excerpt_post_id,wiki_post_id,post_ids_array
.class-file,43907,275,11059844.0,11059843.0,['31055872']
.doc,33232,152,5407037.0,5407036.0,['21994957']
.emf,68890,62,5963500.0,5963499.0,['8474427']
.htaccess,607,72044,5034641.0,5034640.0,"['17319262', '32479324', '34779952', '34132378', '31262649', '32167359', '32981478', '31959161', '30327887', '13574653', '25061324', '26215847', '17031178', '28643576', '15931525', '27178943', '13376509', '7683223', '35253249', '2709099', '23861151', '34104432', '15945559', '10512060', '14188209', '28890233', '22084039', '22673093', '35928408', '34809557', '7769131', '1249882', '12499732', '30982285', '10131312', '13822558', '22656823', '10786286', '2351791', '8809835', '19358276', '30087307', '9350635', '36376653', '28034166', '32327778', '29038490', '11158084', '15589889', '5739265', '35080772', '8648071', '8569399', '8824613', '26464529', '35971108', '17108819', '37002582', '19016062', '34114995', '19550403', '29949692', '26401337', '6758471', '37655287', '32887996', '17736690', '29446785', '12582053', '3066786', '21670558', '9973791', '10555589', '36219250', '35582041', '19277086', '433848', '23982114', '31413110', '24405193', '2567347', '15751439', '19971532', '32559711', '32697468', '20079950', '34493228', '17474620', '25679148', '20120637', '31567339', '19026391', '14539980', '18468928', '20300545', '12273254', '24323755', '11584101', '36567898', '17339797', '5371848', '35269879', '24403368', '22671940', '19394543', '19763556', '6055582', '7745386', '12781800', '37545098', '16449394', '27569464', '25466968', '7130016', '15662478', '23976669', '3756068', '5685101', '20599523', '21680173', '10999615', '11289369']"
.htpasswd,62278,527,5627573.0,5627572.0,"['12499732', '31734188']"
.net,1,323469,3624959.0,3607476.0,"['34179739', '27348441', '10113189', '33145522', '18059126', '5876855', '21950883', '30712277', '10452633', '30497805', '14970981', '1610414', '19828759', '1671225', '13576533', '13697249', '6107115', '2737452', '4464874', '13488615', '30495509', '2909617', '25994629', '11789776', '1457627', '36928370', '20006582', '18925418', '36404516', '29321328', '3189083', '22120791', '6661721', '3992016', '9737730', '11006160', '8946590', '4605323', '14910079', '4243162', '37565423', '3368234', '6345764', '17497193', '16359046', '7547187', '4896765', '33553021', '3878274', '20610480', '27231358', '27707898', '3559040', '26679508', '584151', '4023816', '9029358', '20420067', '6351792', '11455772', '3640985', '7086240', '24641293', '26486656', '12198751', '14571222', '16229996', '37189098', '4107887', '2651327', '15709947', '6545409', '2964651', '11040692', '35285403', '13771150', '34999818', '36250997', '7144762', '10760673', '13481396', '7378302', '30937623', '34057852', '11882556', '1453401', '11416510', '8120940', '25206405', '16098839', '13238728', '3715883', '22861451', '14899059', '32008804', '33146880', '26801521', '1243257', '17016155', '6299961', '4810382', '679493', '20622121', '1459905', '945911', '1787150', '2834181', '9550711', '5490298', '24470618', '27308996', '28327357', '26702592', '27929403', '15590157', '7166307', '11493194', '22894358', '13358574', '1709157', '14975602', '9601858', '12204643', '10206555', '1751006', '10807413', '17900085', '27194410', '2202401', '16484837', '6599838', '1466864', '18741831', '14861452', '7930433', '10856253', '19931030', '2482984', '8623945', '6842213', '24642603', '9053214', '25460208', '6567261', '4426524', '20090998', '256804', '612993', '344686', '17014277', '19903014', '6604604', '5931702', '3833656', '10566487', '2210460', '2406723', '3407552', '22639455', '5079814', '11430654', '3191612', '4290491', '3040351', '4739753', '10294061', '26991775', '5434348', '7180755', '4354809', '687748', '23645949', '7735369', '5271259', '7011572', '17717896', '6584099', '7249528', '7220773', '5950283', '7234613', '13181328', '3508457', '17862936', '5459872', '19909642', '7655019', '1723263', '3158288', '14560790', '2501953', '841625', '4514273', '18727243', '3373945', '13326365', '25035803', '1091024', '26034878', '32443724', '7523096', '5700943', '10328835', '17650916', '4881907', '3833441', '6610622', '506665', '18377046', '6075343', '7660869', '8688300', '2949276', '3831137', '2205704', '14811135', '5904674', '36555596', '25573625', '2893601', '2683036', '4801831', '9428647', '31787840', '12166484', '6397196', '8679546', '4205144', '11238145', '12790756', '17683745', '1678036', '758330', '5005614', '5843288', '2202194', '5375590', '19014', '258960', '14816685', '2620757', '346885', '2147909', '6859148', '6370122', '2219256', '163207', '1198506', '171332', '29369271', '416475', '2097888', '85404', '53338', '285205', '569117', '1560534', '1579438', '11328652', '9645170', '1751254', '35178042', '9765192', '32310694', '33719238', '33799943', '36746800', '31189110', '11406280', '19933643', '9453614', '21687631', '8641526', '16779034', '9542026', '3577046', '5953730', '19300208', '2591407', '16663603', '3158845', '6724192', '9354631', '4988771', '23922154', '33525849', '22705892', '5175568', '14265510', '28497694', '13855565', '4330722', '1413002', '22364030', '32062501', '6643389', '1772819', '2727990', '4593289', '16374632', '4692227', '31546637', '32111650', '2007835', '477269', '35704390', '13804053', '23695715', '11802496', '21422186', '21089140', '6414784', '17054130', '12890820', '21842969', '6791255', '28980684', '33245974', '35961720', '1209703', '2861196', '4617697', '30921745', '14095016', '4936014', '8055535', '2193674', '24367341', '26762775', '11297757', '13463353', '31474488', '15680459', '19269002', '6564194', '26331105', '3962349', '4198493', '33217898', '36542364', '2847548', '23762154', '2075889', '15176759', '14775288', '17946294', '22116846', '9745086', '5347577', '3622273', '4064202', '29687440', '8196312', '17087315', '11970155', '6814107', '888470', '23308220', '2584187', '16326095', '13260420', '8045340', '26644359', '31944514', '16899755', '3519836', '13027381', '26100350', '20063784', '6267313', '2943045', '10351385', '14622104', '3511429', '11151840', '31180341', '7252582', '6056295', '34062739', '9325012', '11524939', '14768844', '21776857', '7479522', '65463', '6753825', '2420622', '27456460', '1014439', '16793416', '1173534', '10913398', '535749', '1294667', '258655', '29985065', '8561925', '2419625', '6736505', '7056795', '3293639', '928680', '10032994', '11909097', '9360584', '10245788', '34869129', '7038964', '18232656', '32350194', '2555668', '15425448', '15811335', '2134619', '12875076', '5905328', '7028572', '715864', '5963115', '3269807', '2848946', '19653725', '3867858', '1645550', '2571233', '332670', '2788778', '9466850', '26824024', '6219886', '1956643', '4544606', '12192403', '10791708', '12852840', '21230414', '4753694', '7041201', '5638297', '9179395', '2661998', '36773198', '2567414', '2697492', '169829', '6239976', '4334246', '7945685', '749841', '2551803', '711807', '5464048', '8542870', '15450427', '1887667', '7131773', '6254416', '6601483', '11621528', '828413', '1541712', '188625', '1310437', '12667219', '587956', '5147256', '2562954', '1159012', '28966157', '5899332', '1671711', '7077056', '1135740', '489485', '4999988', '158729', '20063861', '612753', '13640322', '3281547', '518323', '320295', '2656412', '1977220', '3437563', '154533', '10004422']"
.net-1.1,284,373,13154871.0,13154870.0,['1152320']
.net-2.0,34239,2577,5059129.0,5059128.0,"['780982', '8989280', '1678036', '17058717', '532379', '4334246', '297335', '1135740']"
.net-3.5,30279,5937,4913624.0,4913623.0,"['19906943', '3189083', '713005', '3094478', '35868942', '4203476', '5700943', '4593289', '3111921', '11297757', '637401', '2564387', '536739', '1135740', '3281547', '2806332']"
.net-4.0,9650,8821,5059132.0,5059131.0,"['22083137', '10602661', '6526158', '6345764', '7392066', '6397196', '9099269', '3074748', '10756206', '6646282', '2861196', '17421888', '12735871', '18994297', '2728482', '8512612', '5899332', '158729', '13640322']"
